arm,budgetMiB,inflight,settleMs,samples,wallMs_p50,wallMs_min,wallMs_max,enqueueResolveP50Ms_p50,enqueueResolveP50Ms_min,enqueueResolveP50Ms_max,enqueueResolveP99Ms_p50,enqueueResolveP99Ms_min,enqueueResolveP99Ms_max,messageCount_p50,messageCount_min,messageCount_max,jobCount_p50,jobCount_min,jobCount_max,tempBytesWritten_p50,tempBytesWritten_min,tempBytesWritten_max,filesPerSecond_p50,filesPerSecond_min,filesPerSecond_max,plaintextMiBPerSecond_p50,plaintextMiBPerSecond_min,plaintextMiBPerSecond_max,rssSamplerBytes_p50,rssSamplerBytes_min,rssSamplerBytes_max,peakFdCount_p50,peakFdCount_min,peakFdCount_max,maxRssBytes_p50,maxRssBytes_min,maxRssBytes_max,queueWaitP50Ms_p50,queueWaitP50Ms_min,queueWaitP50Ms_max,queueWaitP99Ms_p50,queueWaitP99Ms_min,queueWaitP99Ms_max,jobOverheadP50Ms_p50,jobOverheadP50Ms_min,jobOverheadP50Ms_max,jobWallP50Ms_p50,jobWallP50Ms_min,jobWallP50Ms_max,budgetHighWaterBytes_p50,budgetHighWaterBytes_min,budgetHighWaterBytes_max,peakHeldCharges_p50,peakHeldCharges_min,peakHeldCharges_max,spilledBytes_p50,spilledBytes_min,spilledBytes_max,spilledFiles_p50,spilledFiles_min,spilledFiles_max
A,0,0,0,10,10008.350137000001,7936.460916,12013.751275999999,11.002892000000429,6.361885999999686,13.561756999999488,77.38715199999933,68.41780699999981,91.81630899999982,20000,20000,20000,20000,20000,20000,574632795,574632795,579592740,1987.2637666218163,1664.7589533465884,2520.0149300401345,38.767039410217144,32.71082736185653,49.51574109881493,1006108672,940908544,1090437120,124,122,130,1006108672,943529984,1092947968,,,,,,,,,,,,,,,,,,,,,,,,
B,24,1,0,10,1392.905269,1284.1686909999999,2015.2001770000002,,,,,,,291,291,291,291,291,291,185558695,185558695,189770507,14257.84370462762,9924.572371650798,15574.277850074139,278.13841226603654,195.00779547496015,306.01878609227015,637808640,604319744,692428800,100,99,102,637808640,604319744,693215232,841.4588679999999,769.709536,1246.231649,1093.132374,1041.6524450000002,1714.350058,0.005670000000009168,0.004959000000098968,0.006793000000016036,9.296106000000009,6.502021000000013,12.56447500000013,21340160,21340160,21340160,0,0,0,0,0,0,0,0,0
B,24,1,0,10,1183.5414700000001,1150.596714,1772.401343,,,,,,,291,291,291,291,291,291,185558695,185558695,189770507,16892.62620750477,11284.125956566711,17382.284997556493,329.5370835657318,221.72164645979933,341.5442953868192,599228416,510238720,622194688,101,99,102,599752704,510238720,622194688,815.87837,798.56126,1198.928344,1021.013119,989.9597699999999,1555.354769,0.004628999999908956,0.003987000000051921,0.00857599999994818,4.849792999999977,4.601525000000038,9.451669999999922,21340160,21340160,21340160,0,0,0,0,0,0,0,0,0
B,24,1,40,10,1603.077108,1476.279572,2510.549073,,,,,,,291,291,291,291,291,291,295679010,295118273,300677028,12435.939583847647,7966.384810037131,13547.569430162108,243.3787772155059,156.53139314577322,266.1960182955912,638074880,606957568,709496832,100,98,102,638861312,607481856,710807552,988.9034489999999,881.598254,1530.645329,1294.522693,1190.0871579999998,2134.4176660000003,0.005801999999903273,0.005199999999945248,0.0076940000001286535,11.228368000000046,9.684979999999996,18.530966000000035,25136981,24945636,25165277,1536,1208,2048,109779023,108919128,110906521,16728,16599,16958
B,24,1,40,10,1301.4425809999998,1190.191829,1631.9103479999999,,,,,,,291,291,291,291,291,291,295257586,293080772,300717393,15091.703882185908,12255.575206389954,16804.0138679191,294.4051459070191,240.80964033296243,327.808456435983,631832576,580337664,677863424,100,98,102,632356864,581124096,677863424,935.924944,834.9108209999999,1207.1296089999998,1137.740879,1043.710532,1453.703844,0.004637999999886233,0.004106999999976324,0.006842999999889798,5.426782000000003,5.001757999999995,6.790696999999909,25117498,24609200,25163855,2048,2048,2560,109492071,107522077,110946886,16075,15606,16728
B,48,1,0,10,4426.263803999999,3948.884117,7237.288707000001,,,,,,,291,291,291,291,291,291,185558695,185558695,189770507,4494.59244009956,2763.465823970203,5064.721933444369,87.67937361148627,54.2993045969583,98.80131570526142,684183552,645427200,774668288,105,102,107,685006848,645427200,774946816,3120.8627500000002,2814.001509,5914.588644,4112.379331,3633.242508,6992.297442,0.006732000000283733,0.006331999999929394,0.010920000000623986,54.03147600000011,36.46481800000038,63.35017000000062,46948352,46948352,46948352,0,0,0,0,0,0,0,0,0
B,48,1,0,10,1310.6325749999999,1230.4823769999998,1725.516702,,,,,,,291,291,291,291,291,291,185558695,185558695,189770507,15238.960300172286,11590.73104121133,16253.788249094123,297.2777868998097,227.74612584278512,318.3742823752431,611778560,583835648,644808704,100,98,102,612040704,584179712,644808704,1062.406378,993.0529620000001,1364.239355,1183.07173,1112.334875,1561.683798,0.004940000000033251,0.0038879999999608117,0.007493999999951484,5.116144000000077,4.66035399999987,8.51420999999982,46948352,46948352,46948352,0,0,0,0,0,0,0,0,0
B,48,1,40,10,4360.210805,3752.8749359999997,5115.681029,,,,,,,291,291,291,291,291,291,277460745,270565782,284454198,4497.79995523794,3909.54789530917,5329.247667740559,87.74194500631917,76.81865654441285,104.71431919774466,713142272,674750464,772796416,107,104,113,713404416,674750464,773320704,3523.733026,2691.709261,4150.387813,4186.184547,3522.273766,4885.2741909999995,0.007393999999749212,0.0068620000001828885,0.010099000000082015,55.39733299999989,44.50978900000018,63.463154999999915,50325748,50314667,50331154,1198,1014,1536,90618909,85007087,96776981,15801,14414,17033
B,48,1,40,10,1364.8340159999998,1344.082231,1480.658821,,,,,,,291,291,291,291,291,291,282135698,278457894,289770184,14494.187507951283,13507.500658721972,14880.041963742024,284.79610478734867,265.40870751852935,290.5291274218708,611733504,584372224,649822208,99,98,102,612257792,584372224,650338304,1106.515995,1074.420716,1148.512247,1225.6244900000002,1194.439689,1292.308272,0.004329000000097949,0.004109000000198648,0.005109999999604042,4.925093000000061,4.559123,5.920935999999983,50273652,50189306,50328122,2048,1024,2581,96577003,92899199,99999677,17101,17078,17838
B,96,1,0,10,6464.935380999999,5388.5401679999995,7031.3496190000005,,,,,,,291,291,291,291,291,291,185558695,185558695,189770507,3011.848851468328,2844.404144825386,3711.5803866083384,58.90984835087548,55.48791732286203,72.92879550035481,785600512,746115072,807464960,107,107,111,786124800,747687936,807464960,6012.759496,5012.086993999999,6538.076222000001,6399.914718999999,5340.940923,6970.142151,0.009126999999352847,0.008286000000225613,0.010809999999764841,48.48029099999985,33.22747100000015,63.08546100000058,68288512,68288512,68288512,0,0,0,0,0,0,0,0,0
